,Success
964,2
965,2
966,1
967,2
968,2
969,2
970,1
971,2
972,2
973,1
974,1
975,2
976,1
977,1
978,2
979,1
980,1
981,2
982,1
983,1
984,1
985,2
986,2
987,2
988,1
989,2
990,1
991,1
992,1
993,1
994,2
995,1
996,1
997,2
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,2
1009,2
1010,1
1011,1
1012,2
1013,1
1014,2
1015,2
1016,2
1017,1
1018,2
1019,2
1020,1
1021,1
1022,2
1023,1
1024,1
1025,1
1026,2
1027,1
1028,1
1029,1
1030,2
1031,2
1032,2
1033,2
1034,1
1035,1
1036,2
1037,1
1038,2
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,2
1048,2
1049,1
1050,2
1051,1
1052,1
1053,2
1054,2
1055,2
1056,1
1057,1
1058,1
1059,1
1060,2
1061,2
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,2
1074,1
1075,1
1076,2
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,2
1085,1
1086,2
1087,2
1088,1
1089,2
1090,1
1091,2
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,2
1099,2
1100,2
1101,1
1102,1
1103,1
1104,1
1105,2
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,2
1113,1
1114,1
1115,2
1116,2
1117,1
1118,1
1119,2
1120,1
1121,1
1122,1
1123,2
1124,1
1125,1
1126,1
1127,1
1128,2
1129,2
1130,1
1131,2
1132,1
1133,1
1134,2
1135,2
1136,1
1137,1
1138,2
1139,1
1140,2
1141,2
1142,2
1143,2
1144,1
1145,2
1146,1
1147,2
1148,1
1149,1
1150,1
1151,1
1152,2
1153,1
1154,1
1155,1
1156,1
1157,2
1158,1
1159,2
1160,2
1161,2
1162,2
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,2
1174,1
1175,1
1176,2
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,2
1188,1
1189,2
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,2
1197,1
1198,2
1199,1
1200,2
1201,2
1202,2
1203,1
1204,1
1205,2
1206,1
1207,2
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,2
1217,2
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,2
1229,1
1230,2
1231,2
1232,1
1233,1
1234,2
1235,1
1236,2
1237,1
1238,2
1239,1
1240,1
1241,1
1242,1
1243,1
1244,2
1245,2
1246,1
1247,2
1248,1
1249,1
1250,2
1251,1
1252,2
1253,1
1254,2
1255,1
1256,1
1257,1
1258,1
1259,1
1260,2
1261,2
1262,2
1263,1
1264,1
1265,2
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,2
1282,1
1283,1
1284,2
1285,1
1286,2
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,2
1295,2
1296,1
1297,1
1298,2
1299,2
1300,1
1301,2
1302,2
1303,1
1304,2
1305,2
1306,2
1307,1
1308,1
1309,2
1310,1
1311,1
1312,2
1313,1
1314,2
1315,1
1316,2
1317,1
1318,2
1319,2
1320,1
1321,1
1322,1
1323,2
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,2
1332,2
1333,1
1334,2
1335,1
1336,1
1337,1
1338,1
1339,2
1340,1
1341,1
1342,1
1343,1
1344,2
1345,1
1346,2
1347,1
1348,2
1349,1
1350,1
1351,2
1352,2
1353,2
1354,1
1355,2
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,2
1364,1
1365,1
1366,1
1367,2
1368,1
1369,2
1370,1
1371,1
1372,1
1373,1
1374,1
1375,2
1376,1
1377,1
1378,2
1379,1
1380,1
1381,2
1382,1
1383,1
1384,1
1385,1
1386,1
1387,2
1388,1
1389,1
1390,2
1391,2
1392,1
1393,1
1394,1
1395,2
1396,2
1397,1
1398,1
1399,2
1400,1
1401,1
1402,2
1403,1
1404,1
1405,1
1406,1
1407,1
1408,1
1409,2
1410,1
1411,2
1412,1
1413,1
1414,1
1415,1
1416,1
1417,2
1418,1
1419,2
1420,1
1421,1
1422,1
1423,1
1424,2
1425,1
1426,1
1427,2
1428,1
1429,2
1430,1
1431,1
1432,2
1433,1
1434,2
1435,1
1436,1
1437,1
1438,2
1439,2
1440,2
1441,1
1442,1
1443,1
1444,1
1445,2
1446,2
1447,1
1448,1
1449,2
1450,1
1451,2
1452,1
1453,1
1454,2
1455,2
1456,2
1457,2
1458,2
1459,2
1460,1
1461,2
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,2
1470,2
1471,1
1472,1
1473,1
1474,1
1475,2
1476,2
1477,1
1478,2
1479,2
1480,1
1481,1
1482,1
1483,2
1484,1
1485,1
1486,1
1487,2
1488,1
1489,1
1490,1
1491,1
1492,2
1493,1
1494,2
1495,1
1496,2
1497,1
1498,1
1499,2
1500,2
1501,2
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,2
1513,2
1514,2
1515,2
1516,1
1517,1
1518,1
1519,2
1520,2
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,2
1528,1
1529,2
1530,1
1531,2
1532,1
1533,1
1534,1
1535,1
1536,2
1537,1
1538,1
1539,2
1540,1
1541,2
1542,2
1543,1
1544,1
1545,1
1546,1
1547,1
1548,2
1549,1
1550,1
1551,2
1552,1
1553,1
1554,2
1555,2
1556,2
1557,1
1558,2
1559,2
1560,2
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,2
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,2
1586,1
1587,2
1588,1
1589,2
1590,2
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,2
1598,2
1599,2
1600,2
1601,2
1602,2
1603,2
1604,1
1605,1
1606,1
1607,2
1608,2
1609,1
1610,2
1611,1
1612,2
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,2
1638,2
1639,2
1640,1
1641,2
1642,1
1643,2
1644,1
1645,1
1646,1
1647,1
1648,2
1649,2
1650,2
1651,1
1652,1
1653,2
1654,2
1655,2
1656,2
1657,2
1658,2
1659,2
1660,1
1661,1
1662,2
1663,1
1664,1
1665,1
1666,2
1667,1
1668,2
1669,2
1670,1
1671,1
1672,1
1673,1
1674,1
1675,2
1676,1
1677,1
1678,2
1679,1
1680,1
1681,1
1682,1
1683,1
1684,2
1685,2
1686,2
1687,1
1688,2
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1696,2
1697,2
1698,1
1699,2
1700,2
1701,2
1702,1
1703,1
1704,2
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,2
1720,2
1721,1
1722,2
1723,1
1724,2
1725,1
1726,1
1727,1
1728,2
1729,2
1730,1
1731,1
1732,2
1733,2
1734,2
1735,1
1736,1
1737,1
1738,1
1739,2
1740,1
1741,1
1742,2
1743,1
1744,1
1745,1
1746,2
1747,1
1748,2
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,2
1756,2
1757,2
1758,1
1759,1
1760,2
1761,1
1762,1
1763,2
1764,1
1765,1
1766,1
1767,2
1768,1
1769,1
1770,1
1771,2
1772,2
1773,1
1774,1
1775,1
1776,1
1777,2
1778,2
1779,1
1780,1
1781,1
1782,1
1783,2
1784,1
1785,2
1786,1
1787,2
1788,1
1789,1
1790,1
1791,2
1792,1
1793,2
1794,2
1795,1
1796,2
1797,1
1798,2
1799,1
1800,1
1801,1
1802,1
1803,1
1804,2
1805,2
1806,1
1807,2
1808,1
1809,2
1810,1
1811,2
1812,2
1813,1
1814,2
1815,2
1816,1
1817,1
1818,2
1819,1
1820,2
1821,2
1822,1
1823,2
1824,1
1825,1
1826,2
1827,1
1828,2
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,2
1837,1
1838,1
1839,2
1840,1
1841,1
1842,2
1843,1
1844,2
1845,2
1846,1
1847,2
1848,1
1849,1
1850,2
1851,1
1852,1
1853,1
1854,2
1855,2
1856,1
1857,2
1858,2
1859,2
1860,1
1861,1
1862,1
1863,2
1864,1
1865,1
1866,2
1867,2
1868,1
1869,1
1870,1
1871,2
1872,2
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1886,2
1887,1
1888,1
1889,1
1890,2
1891,1
1892,2
1893,1
1894,1
1895,1
1896,2
1897,1
1898,1
1899,1
1900,1
1901,2
1902,1
1903,1
1904,1
1905,2
1906,1
1907,1
1908,1
1909,2
1910,1
1911,2
1912,1
1913,1
1914,2
1915,2
1916,1
1917,1
1918,2
1919,2
1920,2
1921,1
1922,1
1923,2
1924,1
1925,2
1926,2
1927,2
1928,1
1929,1
1930,2
1931,1
1932,1
1933,2
1934,2
1935,2
1936,2
1937,1
1938,1
1939,1
1940,1
1941,2
1942,2
1943,2
1944,2
1945,2
1946,1
1947,2
1948,1
1949,2
1950,2
1951,1
1952,2
1953,1
1954,1
1955,2
1956,1
1957,1
1958,2
1959,1
1960,1
1961,1
1962,1
1963,2
1964,1
1965,1
1966,1
1967,1
1968,2
1969,1
1970,2
1971,1
1972,2
1973,1
1974,2
1975,2
1976,2
1977,1
1978,1
1979,1
1980,1
1981,2
1982,1
1983,2
1984,1
1985,1
1986,2
1987,2
1988,1
1989,1
1990,1
1991,2
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,2
2005,2
2006,1
2007,2
2008,2
2009,2
2010,1
2011,2
2012,2
2013,2
2014,2
2015,1
2016,1
2017,1
2018,1
2019,2
2020,2
2021,1
2022,2
2023,1
2024,1
2025,1
2026,2
2027,1
2028,1
2029,1
2030,1
2031,2
2032,1
2033,2
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,2
2041,1
2042,1
2043,2
2044,1
2045,1
2046,1
2047,2
2048,1
2049,2
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,2
2057,1
2058,2
2059,2
2060,1
2061,2
2062,2
2063,1
2064,1
2065,1
2066,1
2067,2
2068,2
2069,1
2070,1
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,2
2078,2
2079,2
2080,2
2081,2
2082,1
2083,1
2084,2
2085,1
2086,2
2087,1
2088,1
2089,2
2090,2
2091,1
2092,1
2093,2
2094,2
2095,1
2096,2
2097,2
2098,2
2099,2
2100,1
2101,2
2102,1
2103,1
2104,1
2105,2
2106,1
2107,2
2108,1
2109,1
2110,2
2111,1
2112,2
2113,2
2114,2
2115,1
2116,1
2117,2
2118,2
2119,1
2120,1
2121,2
2122,2
2123,1
2124,2
2125,2
2126,2
2127,2
2128,1
2129,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,2
2136,1
2137,2
2138,2
2139,1
2140,1
2141,2
2142,2
2143,2
2144,1
2145,1
2146,2
2147,1
2148,2
2149,1
2150,2
2151,1
2152,1
2153,1
2154,1
2155,2
2156,1
2157,1
2158,1
2159,1
2160,1
2161,2
2162,2
2163,1
2164,1
2165,2
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,2
2175,2
2176,1
2177,2
2178,1
2179,1
2180,1
2181,1
2182,2
2183,1
2184,1
2185,1
2186,1
2187,2
2188,2
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,2
2197,2
2198,1
2199,1
2200,1
2201,2
2202,1
2203,2
2204,1
2205,2
2206,1
2207,2
2208,1
2209,2
2210,1
2211,1
2212,2
2213,1
2214,2
2215,1
2216,1
2217,2
2218,1
2219,1
2220,1
2221,2
2222,1
2223,1
2224,2
2225,2
2226,2
2227,1
2228,2
2229,1
2230,2
2231,1
2232,1
2233,1
2234,1
2235,2
2236,2
2237,1
2238,1
2239,1
2240,1
2241,2
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,2
2251,2
2252,1
2253,1
2254,2
2255,1
2256,1
2257,1
2258,2
2259,1
2260,2
2261,2
2262,1
2263,1
2264,2
2265,1
2266,1
2267,1
2268,2
2269,1
2270,2
2271,1
2272,1
2273,1
2274,1
2275,2
2276,2
2277,2
2278,1
2279,2
2280,1
2281,1
2282,1
2283,1
2284,1
2285,2
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,2
2294,1
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,2
2313,1
2314,2
2315,2
2316,1
2317,1
2318,1
2319,1
2320,1
2321,2
2322,2
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,2
2332,2
2333,1
2334,2
2335,1
2336,1
2337,1
2338,1
2339,1
2340,2
2341,1
2342,1
2343,1
2344,2
2345,1
2346,1
2347,1
2348,2
2349,1
2350,1
2351,2
2352,2
2353,1
2354,2
2355,2
2356,1
2357,1
2358,2
2359,1
2360,1
2361,2
2362,2
2363,1
2364,2
2365,1
2366,2
2367,1
2368,1
2369,2
2370,1
2371,1
2372,1
2373,2
2374,1
2375,1
2376,1
2377,1
2378,2
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,2
2387,1
2388,1
2389,1
2390,1
2391,2
2392,1
2393,2
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,2
2401,1
2402,1
2403,1
2404,1
2405,2
2406,1
2407,1
2408,1
2409,2
2410,1
2411,1
2412,1
2413,1
2414,2
2415,1
2416,2
2417,2
2418,1
2419,1
2420,1
2421,1
2422,2
2423,2
2424,1
2425,1
2426,1
2427,2
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,2
2436,2
2437,1
2438,1
2439,2
2440,2
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2449,1
2450,1
2451,1
2452,1
2453,2
2454,2
2455,2
2456,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,2
2467,2
2468,1
2469,2
2470,2
2471,1
2472,1
2473,1
2474,1
2475,1
2476,2
2477,2
2478,1
2479,1
2480,1
2481,1
2482,1
2483,2
2484,2
2485,2
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,2
2494,1
2495,1
2496,2
2497,2
2498,2
2499,1
2500,1
2501,2
2502,2
2503,1
2504,1
2505,1
2506,2
2507,1
2508,2
2509,1
2510,1
2511,1
2512,1
2513,2
2514,1
2515,1
2516,1
2517,1
2518,2
2519,2
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,2
2531,1
2532,1
2533,1
2534,1
2535,1
2536,2
2537,1
2538,1
2539,2
2540,1
2541,2
2542,1
2543,1
2544,2
2545,1
2546,1
2547,1
2548,1
2549,1
2550,2
2551,2
2552,2
2553,1
2554,2
2555,2
2556,1
2557,1
2558,1
2559,2
2560,2
2561,1
2562,2
2563,1
2564,1
2565,1
2566,2
2567,1
2568,2
2569,2
2570,1
2571,2
2572,2
2573,2
2574,2
2575,1
2576,1
2577,1
2578,1
2579,1
2580,1
2581,2
2582,2
2583,2
2584,2
2585,2
2586,1
2587,1
2588,1
2589,1
2590,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,2
2598,1
2599,2
2600,2
2601,2
2602,1
2603,2
2604,1
2605,2
2606,2
2607,1
2608,1
2609,1
2610,2
2611,1
2612,1
2613,1
2614,1
2615,1
2616,2
2617,1
2618,2
2619,1
2620,2
2621,1
2622,1
2623,1
2624,1
2625,1
2626,2
2627,1
2628,2
2629,1
2630,1
2631,2
2632,1
2633,1
2634,1
2635,2
2636,1
2637,2
2638,1
2639,2
2640,2
2641,1
2642,2
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,2
2650,2
2651,1
2652,2
2653,2
2654,1
2655,1
2656,1
2657,2
2658,1
2659,1
2660,1
2661,1
2662,2
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,2
2672,1
2673,1
2674,1
2675,2
2676,1
2677,1
2678,1
2679,1
2680,2
2681,2
2682,1
2683,1
2684,1
2685,1
2686,2
2687,2
2688,1
2689,1
2690,1
2691,2
2692,1
2693,1
2694,2
2695,2
2696,1
2697,1
2698,1
2699,1
2700,1
2701,2
2702,1
2703,2
2704,1
2705,2
2706,1
2707,1
2708,1
2709,2
2710,1
2711,1
2712,1
2713,2
2714,2
2715,1
2716,1
2717,1
2718,1
2719,1
2720,2
2721,1
2722,2
2723,1
2724,2
2725,1
2726,1
2727,2
2728,2
2729,1
2730,1
2731,1
2732,2
2733,2
2734,1
2735,2
2736,1
2737,2
2738,2
2739,2
2740,1
2741,1
2742,2
2743,2
2744,1
2745,2
2746,1
2747,1
2748,1
2749,2
2750,1
2751,1
2752,1
2753,1
2754,1
2755,1
2756,1
2757,1
2758,1
2759,1
2760,1
2761,1
2762,2
2763,1
2764,2
2765,2
2766,1
2767,2
2768,1
2769,1
2770,2
2771,1
2772,1
2773,1
2774,2
2775,1
2776,1
2777,1
2778,1
2779,2
2780,1
2781,1
2782,1
2783,2
2784,2
2785,2
2786,1
2787,2
2788,1
2789,2
2790,2
2791,1
2792,1
2793,1
2794,1
2795,2
2796,1
2797,1
2798,1
2799,1
2800,1
2801,1
2802,1
2803,1
2804,1
2805,2
2806,1
2807,1
2808,1
2809,2
2810,1
2811,1
2812,2
2813,1
2814,1
2815,2
2816,2
2817,1
2818,1
2819,1
2820,1
2821,2
2822,1
2823,2
2824,1
2825,1
2826,1
2827,2
2828,1
2829,2
2830,1
2831,1
2832,1
2833,1
2834,1
2835,1
2836,2
2837,2
2838,1
2839,2
2840,2
2841,1
2842,1
2843,1
2844,2
2845,2
2846,1
2847,2
2848,1
2849,1
2850,1
2851,2
2852,1
2853,1
2854,1
2855,2
2856,2
2857,1
2858,1
2859,1
2860,1
2861,2
2862,2
2863,1
2864,1
2865,1
2866,2
2867,1
2868,2
2869,2
2870,1
2871,2
2872,2
2873,1
2874,2
2875,2
2876,2
2877,1
2878,2
2879,1
2880,2
2881,1
2882,1
2883,1
2884,1
2885,2
2886,2
2887,1
2888,1
2889,1
2890,2
2891,1
2892,2
2893,1
2894,1
2895,1
2896,2
2897,1
2898,2
2899,2
2900,1
2901,1
2902,1
2903,1
2904,1
2905,2
2906,1
2907,1
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,1
2915,1
2916,1
2917,2
2918,1
2919,2
2920,2
2921,1
2922,1
2923,1
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,2
2942,2
2943,1
2944,1
2945,1
2946,1
2947,1
2948,2
2949,1
2950,1
2951,1
2952,2
2953,2
2954,1
2955,1
2956,2
2957,2
2958,2
2959,1
2960,1
2961,2
2962,1
2963,2
2964,2
2965,1
2966,1
2967,1
2968,2
2969,1
2970,2
2971,1
2972,1
2973,2
2974,1
2975,2
2976,1
2977,2
2978,2
2979,1
2980,2
2981,1
2982,2
2983,2
2984,1
2985,2
2986,1
2987,1
2988,2
2989,1
2990,1
2991,1
2992,1
2993,2
2994,1
2995,2
2996,1
2997,1
